Var_name	Question_Text	QNS	HIPAA	Data_Type	ProjectName	coded_value	option_list
Blinded_ID	Subject Identifier - BLINDED	1		Text	QIN_6664		
a0e9	ETHNIC CATEGORY	2		List	QIN_6664	1	Hispanic or Latino
a0e9	ETHNIC CATEGORY	2		List	QIN_6664	2	Not Hispanic or Latino
a0e9	ETHNIC CATEGORY	2		List	QIN_6664	9	Unknown
a0e11	GENDER	3		List	QIN_6664	1	Male
a0e11	GENDER	3		List	QIN_6664	2	Female
a0e12	COUNTRY OF RESIDENCE	4		List	QIN_6664	1	United States
a0e12	COUNTRY OF RESIDENCE	4		List	QIN_6664	2	Canada
a0e12	COUNTRY OF RESIDENCE	4		List	QIN_6664	3	Other
a0e12	COUNTRY OF RESIDENCE	4		List	QIN_6664	9	Unknown
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	0	Other
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	1	Private Insurance
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	2	Medicare
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	3	Medicare and Private Insurance
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	4	Medicaid
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	5	Medicaid and Medicare
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	6	Military or Veterans Administration
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	7	Self Pay
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	8	No means of payment
a0e14	PATIENT'S INSURANCE STATUS	5		List	QIN_6664	9	Unknown/Decline to answer
a0e15	WILL ANY OF THE PATIENT'S CARE BE  AT A VA OR MILITARY FACILITY?	6		List	QIN_6664	1	No
a0e15	WILL ANY OF THE PATIENT'S CARE BE  AT A VA OR MILITARY FACILITY?	6		List	QIN_6664	2	Yes
a0e15	WILL ANY OF THE PATIENT'S CARE BE  AT A VA OR MILITARY FACILITY?	6		List	QIN_6664	9	Unknown
a0e18	"OTHER COUNTRY, SPECIFY"	7		Text	QIN_6664		
a0e19	RACE:  AMERICAN INDIAN OR ALASKAN NATIVE	8		List	QIN_6664	1	No
a0e19	RACE:  AMERICAN INDIAN OR ALASKAN NATIVE	8		List	QIN_6664	2	Yes
a0e20	RACE:  ASIAN	9		List	QIN_6664	1	No
a0e20	RACE:  ASIAN	9		List	QIN_6664	2	Yes
